lambda,Chl a,Chl b,Chl c,Peridinin,Fucoxanthin,Phycocyanobilin,Phycoerythrobilin,Phycourobilin,19'-BF,19'-HF,Diadinoxanthin,Zeaxanthin,Alloxanthin,beta-carotene,alpha-carotene
400,0.018,0.00418,0.01987,0.00365,0.00348,0,0,0,0.0025,0.00268,0.01104,0.01259,0.01198,0.01742,0.01622
403,0.0205,0.00394,0.02036,0.003985,0.003885,0,0,0,0.002935,0.003015,0.0127,0.014275,0.01357,0.019475,0.01821
406,0.022,0.00386,0.02075,0.00439,0.00436,0,0,0,0.00325,0.00349,0.01447,0.01602,0.01525,0.02153,0.01991
409,0.023628035,0.004005,0.020955,0.00484,0.00486,0,0,0,0.003735,0.00397,0.01609,0.01764,0.016845,0.02339,0.021335
412,0.02493544,0.00428,0.02114,0.00553,0.00544,0,0,0,0.00423,0.00451,0.01754,0.01917,0.01835,0.0252,0.0228
415,0.026118629,0.00475,0.021405,0.0062,0.006095,0,0,0,0.00481,0.005075,0.01874,0.02073,0.01982,0.02717,0.024765
418,0.027757108,0.00553,0.02183,0.0068,0.00682,0,0,0,0.00536,0.00579,0.02005,0.02242,0.02137,0.02936,0.02729
421,0.029006663,0.006795,0.022765,0.00749,0.007605,0,0,0,0.006045,0.00655,0.02181,0.02456,0.02332,0.03178,0.03065
424,0.030033568,0.00791,0.02394,0.00817,0.00878,0,0,2.03E-05,0.00721,0.00775,0.02412,0.02702,0.02562,0.03442,0.0342
427,0.030329008,0.0093,0.025495,0.008915,0.00998,0,0,0.000263299,0.00828,0.008885,0.02713,0.02998,0.028485,0.03722,0.037485
430,0.030363262,0.01068,0.02754,0.00968,0.01103,0,0,0.000506344,0.00923,0.0099,0.03014,0.03393,0.03246,0.04071,0.04058
433,0.030854236,0.01205,0.030115,0.010535,0.012155,0,0,0.000749389,0.010155,0.010985,0.03299,0.03591,0.034495,0.04228,0.04129
436,0.03147937,0.01341,0.03318,0.01142,0.01332,0,0,0.000992434,0.01117,0.01207,0.03508,0.03749,0.03615,0.04358,0.04167
439,0.031999602,0.014795,0.037385,0.01241,0.014535,0,0,0.001235479,0.01227,0.01321,0.03554,0.038595,0.03715,0.04457,0.04243
442,0.03102,0.01627,0.04247,0.01343,0.01579,0,0,0.001592945,0.01343,0.01444,0.0358,0.03952,0.03789,0.04566,0.04423
445,0.02543,0.017905,0.04874,0.014575,0.0172,0,0,0.002293671,0.01471,0.01584,0.0365,0.04087,0.038895,0.04734,0.04775
448,0.01771,0.01984,0.05541,0.01615,0.01869,0,0,0.002994398,0.01617,0.01737,0.03807,0.0429,0.0404,0.0496,0.05198
451,0.011055,0.02219,0.06217,0.017155,0.020235,0,5.01E-05,0.003695124,0.017745,0.018965,0.041085,0.0457,0.04297,0.052645,0.056195
454,0.0063,0.0255,0.06831,0.01822,0.02181,0,0.000200441,0.00439585,0.0193,0.02054,0.04493,0.04868,0.04588,0.05568,0.05922
457,0.00331,0.02851,0.072645,0.019295,0.02339,0,0.000350772,0.005230729,0.020665,0.02206,0.04874,0.051295,0.048935,0.05821,0.060145
460,0.00191,0.03057,0.0756,0.02033,0.02551,0,0.000501104,0.006468062,0.02275,0.02406,0.05131,0.05323,0.05136,0.05989,0.05912
463,0.00115,0.03204,0.075635,0.021475,0.026765,0,0.000642969,0.007705396,0.02363,0.02502,0.05151,0.053595,0.052145,0.059995,0.05548
466,0.00072,0.03285,0.07328,0.02258,0.02805,0,0.000752586,0.00894273,0.02498,0.02617,0.05,0.05229,0.05094,0.05845,0.05037
469,0.00066,0.032055,0.06837,0.023765,0.029395,0,0.000862202,0.010180064,0.026205,0.027355,0.04581,0.050165,0.048575,0.05645,0.047515
472,0.00058,0.0302,0.06178,0.02486,0.03067,0,0.000971818,0.011417398,0.02757,0.02869,0.04178,0.04787,0.04567,0.05429,0.04616
475,0.00059,0.027625,0.053635,0.025865,0.03208,0,0.001081435,0.01310673,0.029225,0.030205,0.03927,0.04615,0.04318,0.052825,0.047275
478,0.00045,0.02425,0.04499,0.0268,0.03342,0,0.001326959,0.014886462,0.03064,0.03184,0.03811,0.04525,0.04159,0.052,0.04966
481,0.00046,0.02043,0.03614,0.02777,0.034715,0,0.001964523,0.016749838,0.031965,0.033265,0.03893,0.045515,0.041315,0.052265,0.052595
484,0.00058,0.01616,0.02777,0.02874,0.03575,0,0.002602088,0.018780502,0.03314,0.03429,0.04099,0.04656,0.04231,0.05285,0.0543
487,0.000545,0.012445,0.0205,0.0293,0.036385,0,0.003239653,0.020811165,0.03323,0.034685,0.044135,0.047505,0.043945,0.053305,0.053355
490,0.0006,0.00865,0.01443,0.02975,0.03676,0,0.003877218,0.024943381,0.03335,0.03451,0.04661,0.04787,0.04563,0.05296,0.04981
493,0.000585,0.00635,0.01013,0.03015,0.03667,0,0.004766995,0.02622125,0.03256,0.033705,0.04637,0.046695,0.045755,0.05091,0.0434
496,0.0006,0.00452,0.00673,0.03038,0.03644,0,0.005800521,0.023990558,0.03156,0.03264,0.04322,0.04412,0.04431,0.04769,0.036
499,0.00076,0.003295,0.00468,0.03057,0.03624,0,0.006834047,0.020590345,0.03119,0.03213,0.0363,0.03839,0.038295,0.0414,0.02677
502,0.00068,0.00241,0.00325,0.03075,0.03604,0,0.007867573,0.017190133,0.031,0.0319,0.02855,0.03248,0.03139,0.03506,0.01953
505,0.0008,0.001865,0.00241,0.03077,0.035875,0,0.008901099,0.013234287,0.03121,0.032275,0.01848,0.026615,0.024235,0.029065,0.014115
508,0.00077,0.00151,0.00202,0.03069,0.03564,0,0.009934625,0.009673359,0.03112,0.03243,0.01252,0.02111,0.0178,0.02334,0.00998
511,0.000644405,0.00131,0.00179,0.030385,0.03515,0,0.010977782,0.008642658,0.03103,0.032395,0.008395,0.01624,0.012515,0.01833,0.007
514,0.00065796,0.00119,0.00163,0.03012,0.03444,0,0.012276599,0.007611956,0.03079,0.0318,0.00562,0.01218,0.00862,0.01407,0.00487
517,0.000680795,0.001125,0.00162,0.029145,0.03339,0,0.013575415,0.006521509,0.02936,0.03042,0.00395,0.008975,0.00597,0.01058,0.00355
520,0.00068651,0.00108,0.00162,0.02817,0.0319,0,0.014874231,0.00540119,0.0276,0.02835,0.00287,0.0065,0.00404,0.00778,0.0026
523,0.000755015,0.00108,0.00158,0.027235,0.030065,0,0.016173047,0.00428087,0.02467,0.025685,0.00219,0.004805,0.003015,0.005885,0.00201
526,0.0007964,0.00114,0.00159,0.02616,0.02809,0.000111189,0.017471863,0.003124255,0.02221,0.02278,0.00167,0.00352,0.00225,0.00437,0.00161
529,0.000871335,0.00119,0.001645,0.024975,0.025295,0.000745219,0.018984412,0.001955541,0.018995,0.01936,0.0014,0.002615,0.001785,0.00325,0.00135
532,0.00094912,0.00127,0.00174,0.02368,0.0229,0.001378939,0.020785253,0.000786827,0.01626,0.01659,0.0012,0.00185,0.00132,0.0024,0.00114
535,0.00101548,0.00135,0.00187,0.022245,0.02074,0.001952463,0.022586094,9.19E-05,0.013905,0.014175,0.00102,0.0014,0.00106,0.00181,0.00085
538,0.0011304,0.00145,0.00201,0.02077,0.01869,0.002525987,0.024386935,6.04E-05,0.01182,0.01226,0.0008,0.00113,0.00093,0.00155,0.00085
541,0.00119815,0.00156,0.00218,0.019315,0.016765,0.003162948,0.02568861,2.89E-05,0.010305,0.010505,0.0007,0.00095,0.000785,0.001305,0.000705
544,0.0012688,0.00167,0.00233,0.01776,0.01499,0.003872953,0.026416776,0,0.00867,0.00893,0.00064,0.00077,0.00072,0.00139,0.00057
547,0.0013131,0.00173,0.00252,0.01625,0.013285,0.004582957,0.027144942,0,0.007415,0.007595,0.00056,0.0007,0.000595,0.00117,0.00059
550,0.0013545,0.0018,0.00304,0.01444,0.01169,0.005292961,0.027765869,0,0.00596,0.00632,0.00048,0.00059,0.00055,0.00085,0.00043
553,0.0013823,0.00185,0.003115,0.012765,0.01029,0.005970916,0.027844167,0,0.00518,0.00526,0.00042,0.00052,0.000445,0.000905,0.000405
556,0.0014415,0.00188,0.00318,0.01142,0.00896,0.006613419,0.027705402,0,0.00432,0.00454,0.0004,0.0005,0.0003,0.00075,0.00033
559,0.00151,0.001915,0.00329,0.010255,0.00775,0.007255921,0.026609238,0,0.003675,0.003765,0.00034,0.000385,0.00034,0.000615,0.00033
562,0.0015885,0.00193,0.00344,0.00911,0.00646,0.007773042,0.024989713,0,0.00286,0.00302,0.00032,0.00032,0.00038,0.00053,0.00033
565,0.00172695,0.00196,0.003635,0.00806,0.005355,0.008137744,0.021335833,0,0.002365,0.002315,0.00028,0.000295,0.0003,0.00053,0.00026
568,0.0019254,0.00198,0.00391,0.00707,0.00457,0.008502446,0.017681953,0,0.00176,0.00202,0.00024,0.00032,0.0003,0.00043,0.00028
571,0.0021266,0.002025,0.0043,0.00625,0.00394,0.009011134,0.014003611,0,0.001655,0.001645,0.00024,0.000275,0.00023,0.000455,0.00024
574,0.0023978,0.00209,0.00477,0.00546,0.0033,0.009558539,0.010245334,0,0.00122,0.00143,0.0002,0.00023,0.00021,0.00037,0.00019
577,0.0026675,0.00218,0.00523,0.004755,0.00285,0.010098746,0.006487058,0,0.00107,0.001155,0.0002,0.00018,0.00019,0.000345,0.00019
580,0.0029244,0.0023,0.00566,0.00409,0.00243,0.010589285,0.004103509,0,0.0008,0.00103,0.0002,0.00018,0.00017,0.00027,0.00014
583,0.0031842,0.00249,0.005965,0.00352,0.00209,0.011074094,0.001832883,0,0.00073,0.00084,0.00016,0.00014,0.00013,0.00024,0.00014
586,0.0034368,0.00272,0.00607,0.00285,0.00174,0.011546239,0.00121428,0,0.00054,0.00075,0.00012,0.00014,0.00013,0.00021,0.00014
